Title,Oscar Status,Globes Status,Decade Released,Runtime (minutes),Box Office,Genre,Sub-Genre,Studio,Rotten Tomatoes (out of 100),IMDb (out of 100),Metacritic (out of 100),Director,Starring,Release Date,Budget,Domestic Gross,Worldwide Gross,Total Gross,Net Gross,remake,Cast Strength,Director Strength,Total Status,total score
Nope,0,0,2020-2029,130,170823080,"Horror, Thriller",Horror Thriller,"Universal Pictures, Monkeypaw Productions",,,,Jordan Peele,"Daniel Kaluuya, Keke Palmer, Brandon Perea, Steven Yeun, Michael Wincott, Wrenn Schmidt, Barbie Ferreira, Terry Notary",7/21/2022,680000000,1232770800,1720390870,2953161670,2273161670,0,3,1,0,
Non-Stop,0,0,2010-2019,106,222809600,"Action, Thriller","Mystery & Suspense, Action Thriller","Universal Pictures, StudioCanal",62,690,56,Jaume Collet-Serra,"Liam Neeson, Julianne Moore, Scoot McNairy, Michelle Dockery, Nate Parker, Corey Stoll, Lupita Nyong'o, Jason Butler Harner",2/28/2014,500000000,917421600,2223830550,3141252150,2641252150,0,3,0,0,187
Despicable Me,0,0,2010-2019,95,543513985,Animation,Kids & Family,"Illumination, Universal Pictures",81,760,72,Pierre Coffin,"Steve Carell, Miranda Cosgrove, Jason Segel, Russell Brand, Julie Andrews, Will Arnett, Kristen Wiig, Dana Gaier",7/9/2010,690000000,2527567050,5447072930,7974639980,7284639980,0,3,0,0,229
Shrek 2,1,0,2000-2009,93,928760770,Animation,"Kids & Family, Sequel","DreamWorks Pictures, DreamWorks Animation",89,720,75,Adam Adamson,"Mike Myers, Eddie Murphy, Cameron Diaz, Julie Andrews, Antonio Banderas, John Cleese, Rupert Everett, Jennifer Saunders",5/19/2004,700000000,4414268070,9354545380,13768813450,13068813450,0,3,0,1,236
The Weather Man,0,0,2000-2009,101,12482775,Dramedy,Dark Comedy,Paramount Pictures,59,650,61,Gore Verbinski,"Nicolas Cage, Michael Caine, Hope Davis, Gemmenne de la Peña, Nicholas Hoult, Michael Rispoli, Gil Bellows, Judith McConnell",10/28/2005,200000000,124827750,154669610,279497360,79497360,0,3,0,0,185
Knowing,0,0,2000-2009,121,155446362,Mystery,Mystery & Suspense,"Summit Entertainment, Saturn Films",33,620,41,Alex Proyas,"Nicolas Cage, Rose Byrne, Chandler Canterbury, Ben Mendelsohn, Nadia Townsend, Terry Camilleri, Lara Robinson, Adrienne Pickering",3/20/2009,500000000,799576340,1864503170,2664079510,2164079510,0,3,0,0,136
We Bought a Zoo,0,0,2010-2019,124,120081841,Drama,Family Comedy,20th Century Studios,65,710,58,Cameron Crowe,"Matt Damon, Scarlett Johansson, Thomas Haden Church, Colin Ford, Maggie Elizabeth Jones, Angus Macfadyen, Elle Fanning, Patrick Fugit",12/23/2011,500000000,756245500,1187290730,1943536230,1443536230,0,3,0,0,194
10 Cloverfield Lane,0,0,2010-2019,104,108286421,"Sci-Fi, Horror","Horror Thriller, Psychological Thriller, Disaster & Apocalypse, Sequel","Paramount Pictures, Bad Robot",90,720,76,Dan Trachtenberg,"Mary Elizabeth Winstead, John Goodman, John Gallagher Jr., Douglas M. Griffin, Suzanne Cryer, Sumalee Montano, Frank Mottek, Bradley Cooper",1/4/2016,150000000,720829990,1082864220,1803694210,1653694210,0,3,0,0,238
Edge of Tomorrow,0,0,2010-2019,113,370541256,Sci-Fi,"Alien Invasion, Time Travel","Warner Bros, StudioCanal",91,790,71,Doug Liman,"Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton, Jonas Armstrong, Tony Way, Kick Gurry, Franz Drameh",5/28/2014,1780000000,1002062560,3670289800,4672352360,2892352360,0,3,0,0,241
Rambo: Last Blood,0,0,2010-2019,89,91490353,"Action, Thriller","Action Thriller, Sequel","Lionsgate, Balboa Productions",27,620,26,Adrian Grunberg,"Sylvester Stallone, Paz Vega, Sergio Peris-Mencheta, Adriana Barraza, Yvette Monreal, Joaquín Cosío, Pascacio López, Óscar Jaenada",9/19/2019,500000000,448193520,913788860,1361982380,861982380,0,3,0,0,115
