Title,Oscar Status,Globes Status,Decade Released,Runtime (minutes),Box Office,Genre,Sub-Genre,Studio,Rotten Tomatoes (out of 100),IMDb (out of 100),Metacritic (out of 100),Director,Starring,Release Date,Budget,Domestic Gross,Worldwide Gross,Total Gross,Net Gross,remake,Cast Strength,Director Strength,Total Status,total score
The Post,1,1,2010-2019,116,174503458,Drama,"BioPic & True Story, Journalism","20th Century Studios, Amblin",88,720,83,Steven Spielberg,"Meryl Streep, Tom Hanks, Bob Odenkirk, Tracy Letts, Bruce Greenwood, Sarah Paulson, Bradley Whitford, Alison Brie",12/22/2017,500000000,819034580,1797694570,2616729150,2116729150,0,18,6,2,243
Nightmare Alley,1,0,2020-2029,139,,Thriller,Psychological Thriller,Searchlight Pictures,,,,Guillermo del Toro,"Bradley Cooper, Cate Blanchett, Toni Collette, Willem Dafoe, Richard Jenkins, Rooney Mara, Ron Perlman, David Strathairn",12/17/2021,600000000,113381070,375377730,488758800,-111241200,0,17,2,1,
Little Women,1,0,2010-2019,135,191540586,"Drama, Romance",Romantic Drama,Sony Pictures,95,790,91,Greta Gerwig,"Saoirse Ronan, Florence Pugh, Emma Watson, Eliza Scanlen, Laura Dern, Timothée Chalamet, Meryl Streep, Tracy Letts",12/25/2019,420000000,1080959550,2188383860,3269343410,2849343410,1,17,1,1,265
Amsterdam,0,0,2020-2029,134,24211191,"Mystery, Dramedy","Dark Comedy, Mystery & Suspense",20th Century Studios,,,,David O. Russell,"Christian Bale, Margot Robbie, John David Washington, Robert De Niro, Anya Taylor-Joy, Rami Malek, Chris Rock, Zoe Saldaña",10/6/2022,800000000,149479690,294008260,443487950,-356512050,0,17,3,0,
Joy,0,1,2010-2019,124,101134059,Drama,BioPic & True Story,Annapurna Pictures,60,660,56,David O. Russell,"Jennifer Lawrence, Bradley Cooper, Robert De Niro, Dascha Polanco, Edgar Ramírez, Elisabeth Röhm, Virginia Madsen, Isabella Rossellini",12/24/2015,600000000,564512320,1011340590,1575852910,975852910,0,16,3,1,182
The Monuments Men,0,0,2010-2019,118,154984035,Dramedy,Heist,Sony Pictures,30,610,52,George Clooney,"George Clooney, Matt Damon, Bill Murray, John Goodman, Cate Blanchett, Hugh Bonneville, Sam Hazeldine, Jean Dujardin",2/7/2014,700000000,780316200,1587027480,2367343680,1667343680,0,14,1,0,143
August: Osage County,0,0,2010-2019,121,74188937,Dramedy,Family Dynamics,Lantern Entertainment,66,720,58,John Wells,"Meryl Streep, Julia Roberts, Chris Cooper, Julianne Nicholson, Juliette Lewis, Ewan McGregor, Margo Martindale, Sam Shepard",12/25/2013,250000000,377388100,507388100,884776200,634776200,0,14,0,0,196
Righteous Kill,0,0,2000-2009,101,78460699,Mystery,Police & Detectives,Overture Films,18,600,36,Jon Avnet,"Robert De Niro, Carla Gugino, 50 Cent, Al Pacino, Donnie Wahlberg, Brian Dennehy, John Leguizamo, Trilby Glover",9/12/2008,600000000,400814100,784814100,1185628200,585628200,0,13,0,0,114
Something's Gotta Give,0,0,2000-2009,128,266728738,RomCom,,"Sony Pictures, Columbia Pictures, Warner Bros",72,670,66,Nancy Meyers,"Jack Nicholson, Diane Keaton, Keanu Reeves, Frances McDormand, Amanda Peet, Jon Favreau, Paul Michael Glaser, Rachel Ticotin",12/12/2003,800000000,1246852420,2666852420,3913704840,3113704840,0,12,0,0,205
Nine,0,1,2000-2009,112,53825515,"Musical, Romance","Romantic Drama, Dance & Music","Lantern Entertainment, Relativity Media",39,580,49,Rob Marshall,"Daniel Day-Lewis, Marion Cotillard, Penélope Cruz, Nicole Kidman, Judi Dench, Sophia Loren, Kate Hudson, Fergie",12/18/2009,800000000,196769650,569842190,766611840,-33388160,0,12,1,1,146
The Bucket List,0,0,2000-2009,97,175372502,Dramedy,Dark Comedy,Warner Bros,41,740,42,Rob Reiner,"Jack Nicholson, Morgan Freeman, Sean Hayes, Beverly Todd, Alfonso Freeman, Destiny Brownridge, Rob Morrow, Dawn Lewis",12/25/2007,450000000,934665020,1748074450,2682739470,2232739470,0,12,0,0,157
The Little Things,0,0,2020-2029,127,,"Crime, Thriller",Crime Thriller,Warner Bros,46,630,54,John Lee Hancock,"Denzel Washington, Rami Malek, Jared Leto, Chris Bauer, Michael Hyatt, Terry Kinney, Natalie Morales, Isabel Arraiza",1/28/2021,300000000,153427460,297352220,450779680,150779680,0,12,0,0,163
Hope Springs,0,0,2010-2019,100,114281051,"Dramedy, Romance",Romantic Drama,Sony Pictures,75,630,65,David Frankel,"Meryl Streep, Steve Carell, Tommy Lee Jones, Jean Smart, Marin Ireland, Ben Rappaport, Brett Rice, Becky Ann Baker",8/8/2012,300000000,635360110,1330852950,1966213060,1666213060,0,12,0,0,203
Casino,0,0,1990-1999,179,116112375,Crime,Gangster & Mob/Mafia,Universal Pictures,80,820,73,Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods, Don Rickles, Alan King, Kevin Pollak, Pasquale Cajano",11/22/1995,520000000,424383000,1104000000,1528383000,1008383000,0,12,3,0,235
Joker,1,1,2010-2019,122,1074251311,Comic Book,,"DC, BRON",68,850,59,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Shea Whigham, Bill Camp, Glenn Fleshler",10/2/2019,550000000,3354513110,10640852460,13995365570,13445365570,0,12,0,2,212
Murder on the Orient Express,0,0,2010-2019,114,351839303,Mystery,Mystery & Suspense,20th Century Studios,61,650,52,Kenneth Branagh,"Kenneth Branagh, Penélope Cruz, Willem Dafoe, Judi Dench, Johnny Depp, Josh Gad, Derek Jacobi, Leslie Odom Jr.",11/3/2017,550000000,1028265430,3517671470,4545936900,3995936900,0,12,0,0,178
Horrible Bosses 2,0,0,2010-2019,108,107670357,Comedy,"Buddies & Screwballs, Sequel",Warner Bros,34,630,40,Sean Anders,"Jason Bateman, Jason Sudeikis, Charlie Day, Jennifer Aniston, Kevin Spacey, Jamie Foxx, Chris Pine, Christoph Waltz",11/26/2014,400000000,544453570,1059453570,1603907140,1203907140,0,11,0,0,137
How to Train Your Dragon: the Hidden World,1,0,2010-2019,104,517526875,Animation,"Kids & Family, Sequel","DreamWorks Pictures, DreamWorks Animation",91,750,71,Dean DeBlois,"Jay Baruchel, America Ferrera, Cate Blanchett, Craig Ferguson, Jonah Hill, Kit Harington, F. Murray Abraham, AJ Kane",1/3/2019,1290000000,1607995050,5206911820,6814906870,5524906870,0,11,0,1,237
Larry Crowne,0,0,2010-2019,98,36160375,"Dramedy, RomCom",,Universal Pictures,36,610,41,Tom Hanks,"Tom Hanks, Julia Roberts, Bryan Cranston, Cedric the Entertainer, Pam Grier, Taraji P. Henson, George Takei, Nia Vardalos",7/1/2011,300000000,356082450,614491350,970573800,670573800,0,11,0,0,138
Little Fockers,0,0,2010-2019,98,310650585,Comedy,"Family Comedy, Sequel","Universal Pictures, Relativity Media",9,550,27,Paul Weitz,"Robert De Niro, Ben Stiller, Owen Wilson, Dustin Hoffman, Barbra Streisand, Teri Polo, Blythe Danner, Jessica Alba",12/22/2010,1000000000,1484386000,3106505740,4590891740,3590891740,0,11,0,0,91
Robin Hood (2010),0,0,2010-2019,140,321669741,Action,Sword & Sandal,"Universal Pictures, Relativity Media, Imagine Entertainment",43,66,53,Ridley Scott,"Russell Crowe, Cate Blanchett, Max von Sydow, William Hurt, Mark Strong, Oscar Isaac, Danny Huston, Eileen Atkins",11/21/2018,990000000,308246280,852100120,1160346400,170346400,1,11,2,0,102.6
The Departed,2,1,2000-2009,151,291465034,"Crime, Thriller","Police & Detectives, Crime Thriller",Warner Bros,91,850,85,Martin Scorsese,"Jack Nicholson, Leonardo DiCaprio, Matt Damon, Mark Wahlberg, Vera Farmiga, Martin Sheen, Ray Winstone, Anthony Anderson",10/6/2006,900000000,1323843150,2896606190,4220449340,3320449340,0,11,5,3,261
The Ides of March,0,0,2010-2019,101,76338111,"Drama, Thriller",Political,Sony Pictures,84,710,67,George Clooney,"George Clooney, Ryan Gosling, Philip Seymour Hoffman, Paul Giamatti, Evan Rachel Wood, Marisa Tomei, Jeffrey Wright, Max Minghella",10/7/2011,230000000,409625340,777359250,1186984590,956984590,0,11,1,0,222
The Intern,0,0,2010-2019,121,194564672,Dramedy,Family Comedy,Warner Bros,60,710,51,Nancy Meyers,"Robert De Niro, Anne Hathaway, Rene Russo, Anders Holm, Adam Devine, JoJo Kushner, Andrew Rannells, Zack Pearlman",9/24/2015,400000000,757646720,1971157100,2728803820,2328803820,0,11,0,0,182
The Nutcracker and the Four Realms,0,0,2010-2019,99,59522646,Fantasy,Kids & Family,Disney,32,550,39,Lasse Hallström,"Keira Knightley, Mackenzie Foy, Morgan Freeman, Helen Mirren, Eugenio Derbez, Jayden Fowora-Knight, Matthew Macfadyen, Richard E. Grant",10/31/2018,1329000000,548588510,1700243000,2248831510,919831510,0,11,0,0,126
Extremely Loud and Incredibly Close,1,0,2010-2019,129,55247881,Adventure,Mystery & Suspense,Warner Bros,46,690,46,Stephen Daldry,"Thomas Horn, Tom Hanks, Sandra Bullock, Max von Sydow, John Goodman, Viola Davis, Jeffrey Wright, Zoe Caldwell",12/25/2011,400000000,318478810,552478810,870957620,470957620,0,11,1,1,161
Suffragette,0,0,2010-2019,106,16002420,Drama,Political,Focus Features,73,690,66,Sarah Gavron,"Carey Mulligan, Helena Bonham Carter, Brendan Gleeson, Anne-Marie Duff, Meryl Streep, Ben Whishaw, Romola Garai, Samuel West",12/26/2014,140000000,47024200,378880430,425904630,285904630,0,11,0,0,208
Thor: Love and Thunder,0,0,2020-2029,119,760000000,Comic Book,Sequel,Marvel,,,,Taika Waititi,"Chris Hemsworth, Natalie Portman, Christian Bale, Tessa Thompson, Taika Waititi, Jaimie Alexander, Russell Crowe, Chris Pratt",7/1/2022,2500000000,3432568300,7609280810,11041849110,8541849110,0,11,0,0,
Road to Perdition,0,0,2000-2009,117,181001478,Crime,Gangster & Mob/Mafia,DreamWorks Pictures,81,770,72,Sam Mendes,"Tom Hanks, Tyler Hoechlin, Jennifer Jason Leigh, Liam Aiken, Paul Newman, Daniel Craig, Ciarán Hinds, David Darlow",7/12/2002,800000000,1040545140,1833545140,2874090280,2074090280,0,11,2,0,230
Sleepers,0,0,1990-1999,147,165615285,Crime,Courtroom & Legal,Warner Bros,73,760,49,Barry Levinson,"Brad Pitt, Robert De Niro, Kevin Bacon, Jason Patric, Ron Eldard, Billy Crudup, Dustin Hoffman, Minnie Driver",10/18/1996,440000000,533008520,1656008520,2189017040,1749017040,0,11,2,0,198
Meet the Fockers,0,0,2000-2009,115,516642939,Comedy,"Family Comedy, Sequel",Universal Pictures,39,630,41,Jay Roach,"Ben Stiller, Teri Polo, Robert De Niro, Dustin Hoffman, Barbra Streisand, Blythe Danner, Tim Blake Nelson, Alanna Ubach",12/22/2004,600000000,2791675750,5165675750,7957351500,7357351500,0,11,0,0,143
The Ant Bully,0,0,2000-2009,88,55181129,Animation,Kids & Family,"Warner Bros, Legendary Pictures",62,580,59,John A. Davis,"Julia Roberts, Meryl Streep, Nicolas Cage, Paul Giamatti, Bruce Campbell, Regina King, Lily Tomlin, Larry Miller",7/28/2006,450000000,281425350,496108980,777534330,327534330,0,11,0,0,179
Shark Tale,1,0,2000-2009,90,367275019,Animation,Kids & Family,"DreamWorks Pictures, DreamWorks Animation",36,600,48,Bibo Bergeron,"Will Smith, Robert De Niro, Renée Zellweger, Jack Black, Angelina Jolie, Ziggy Marley, Martin Scorsese, David P. Smith",9/20/2004,750000000,1614120000,3717411230,5331531230,4581531230,0,11,0,1,144
Thor: Ragnarok,0,0,2010-2019,131,853977126,Comic Book,Sequel,Marvel,93,790,74,Taika Waititi,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Tessa Thompson, Jeff Goldblum, Idris Elba, Karl Urban, Mark Ruffalo",10/25/2017,1800000000,3150582890,8504827780,11655410670,9855410670,0,10,0,0,246
How Do You Know,0,0,2010-2019,121,48668907,RomCom,,Sony Pictures,31,540,46,James L. Brooks,"Reese Witherspoon, Paul Rudd, Owen Wilson, Jack Nicholson, Kathryn Hahn, Molly Price, Shelley Conn, Tony Shalhoub",12/17/2010,1200000000,302126200,496281770,798407970,-401592030,0,10,0,0,131
Alita: Battle Angel,0,0,2010-2019,122,404852543,Sci-Fi,Dystopian,"20th Century Studios, Lightstorm Entertainment",61,730,53,Robert Rodriguez,"Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali, Ed Skrein, Jackie Earle Haley, Keean Johnson, Lana Condor",2/1/2019,1700000000,858382100,4019000400,4877382500,3177382500,0,10,0,0,187
Hunger Games: Mockingjay - Part 2,0,0,2010-2019,137,653428261,Sci-Fi,"Dystopian, Young Adult, Sequel",Lionsgate,70,650,65,Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks, Julianne Moore, Philip Seymour Hoffman, Jeffrey Wright",11/18/2015,1600000000,2817239020,6462199540,9279438560,7679438560,0,10,0,0,200
Carnage,0,0,2010-2019,80,30722632,Dramedy,Dark Comedy,Sony Pictures,71,720,61,Roman Polanski,"Kate Winslet, Jodie Foster, Christoph Waltz, John C. Reilly, Elvis Polanski, Eliot Berger, Julie Adams, Joseph Rezwin",12/16/2011,250000000,25467470,381121540,406589010,156589010,0,10,3,0,204
Anger Management,0,0,2000-2009,106,195745823,Dramedy,Buddies & Screwballs,"Happy Madison, Columbia Pictures",42,630,52,Peter Segal,"Adam Sandler, Jack Nicholson, Marisa Tomei, January Jones, Woody Harrelson, Luis Guzmán, Krista Allen, Kevin Nealon",4/11/2003,560000000,1355609420,1954845520,3310454940,2750454940,0,10,0,0,157
All the King's Men,0,0,2000-2009,125,9450897,"Drama, Thriller",Political,"Columbia Pictures, Relativity Media",11,620,37,Steven Zaillian,"Sean Penn, Jude Law, Kate Winslet, James Gandolfini, Patricia Clarkson, Anthony Hopkins, Kathy Baker, Jackie Earle Haley",9/22/2006,550000000,72214580,95214580,167429160,-382570840,0,10,0,0,110
The Score,0,0,2000-2009,124,113579918,Crime,Heist,"Paramount Pictures, StudioCanal",,,,Frank Oz,"Robert De Niro, Edward Norton, Marlon Brando, Angela Bassett, Jamie Harrold, Serge Houde, Mark Camacho, Martin Drainville",7/13/2001,680000000,710698840,1135420910,1846119750,1166119750,0,10,0,0,
Jason Bourne,0,0,2010-2019,123,415484914,"Action, Thriller","Spy & Secret Agents/Espionage, Action Thriller, Sequel",Universal Pictures,54,660,58,Paul Greengrass,"Matt Damon, Alicia Vikander, Tommy Lee Jones, Vincent Cassel, Julia Stiles, Riz Ahmed, Joe Kennard, Amy De Bhrún",7/20/2016,1200000000,1621929200,4161683160,5783612360,4583612360,0,10,1,0,178
Oblivion,0,0,2010-2019,124,286168572,Sci-Fi,Disaster & Apocalypse,"Universal Pictures, Chernin, Relativity Media",53,700,54,Joseph Kosinski,"Tom Cruise, Morgan Freeman, Olga Kurylenko, Andrea Riseborough, Nikolaj Coster-Waldau, Melissa Leo, Zoë Bell, Abigail Lowe",4/19/2013,1200000000,891072350,2879166330,3770238680,2570238680,0,10,0,0,177
The Big Short,1,1,2010-2019,131,133346506,Drama,BioPic & True Story,Paramount Pictures,88,780,81,Adam McKay,"Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt, Melissa Leo, Hamish Linklater, John Magaro, Rafe Spall",12/11/2015,280000000,702598700,1326246810,2028845510,1748845510,0,10,0,2,247
The Manchurian Candidate,0,0,2000-2009,129,96105964,"Mystery, Thriller","Political, Psychological Thriller",Paramount Pictures,80,660,76,Jonathan Demme,"Denzel Washington, Liev Schreiber, Meryl Streep, Vera Farmiga, Kimberly Elise, Jon Voight, Bruno Ganz, Simon McBurney",7/30/2004,800000000,659487110,961358720,1620845830,820845830,0,10,2,0,222
Florence Foster Jenkins,0,1,2010-2019,110,48902953,Dramedy,BioPic & True Story,"20th Century Studios, BBC Films",87,680,71,Stephen Frears,"Meryl Streep, Hugh Grant, Simon Helberg, Rebecca Ferguson, Nina Arianda, Stanley Townsend, David Haig, Bríd Brennan",4/29/2016,290000000,273837700,560003390,833841090,543841090,0,10,1,1,226
House of Gucci,0,0,2020-2029,164,,Drama,BioPic & True Story,"MGM Studios, BRON, United Artists",,,,Ridley Scott,"Lady Gaga, Adam Driver, Jared Leto, Jeremy Irons, Salma Hayek, Al Pacino, Jack Huston, Reeve Carney",11/24/2021,750000000,538095740,1474741380,2012837120,1262837120,0,10,2,0,
The Equalizer 2,0,0,2010-2019,122,102084362,"Crime, Action","Assassins/Hitmen & Gunslingers, Action Thriller, Crime Thriller, Sequel",Sony Pictures,51,670,50,Antoine Fuqua,"Denzel Washington, Pedro Pascal, Ashton Sanders, Orson Bean, Bill Pullman, Melissa Leo, Jonathan Scarfe, Sakina Jaffrey",7/18/2018,770000000,1020843620,1903761810,2924605430,2154605430,0,10,0,0,168
Men of Honor,0,0,2000-2009,129,48814909,Drama,BioPic & True Story,20th Century Studios,,,,George Tillman Jr.,"Robert De Niro, Cuba Gooding Jr., Charlize Theron, Aunjanue Ellis, Hal Holbrook, Michael Rapaport, Powers Boothe, David Keith",11/10/2000,320000000,488149090,823394830,1311543920,991543920,0,10,0,0,
American Hustle,1,2,2010-2019,138,251171807,Crime,Gangster & Mob/Mafia,Annapurna Pictures,92,720,90,David O. Russell,"Amy Adams, Christian Bale, Bradley Cooper, Jennifer Lawrence, Jeremy Renner, Louis C. K., Jack Huston, Michael Peña",12/12/2013,400000000,1500984560,2578589430,4079573990,3679573990,0,10,2,3,254
Catch Me If You Can,0,0,2000-2009,141,352114312,Drama,BioPic & True Story,"DreamWorks Pictures, Amblin",96,810,75,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Amy Adams, Christopher Walken, Martin Sheen, Jennifer Garner, Kelly McNair, Guy Thauvette",12/25/2002,520000000,1646068000,3556122910,5202190910,4682190910,0,10,4,0,252
Gangster Squad,0,0,2010-2019,113,105200903,Action,Gangster & Mob/Mafia,Warner Bros,31,670,40,Ruben Fleischer,"Sean Penn, Josh Brolin, Ryan Gosling, Nick Nolte, Emma Stone, Giovanni Ribisi, Anthony Mackie, Robert Patrick",1/9/2013,600000000,460009030,1041009030,1501018060,901018060,0,10,0,0,138
The Dark Knight Rises,0,0,2010-2019,165,1081041287,Comic Book,Sequel,"DC, Syncopy, Legendary Pictures",87,840,78,Christopher Nolan,"Christian Bale, Michael Caine, Gary Oldman, Anne Hathaway, Tom Hardy, Marion Cotillard, Joseph Gordon-Levitt, Morgan Freeman",7/19/2012,2300000000,4481390990,10822281070,15303672060,13003672060,0,10,0,0,249
Man on Fire,0,0,2000-2009,146,130293714,"Action, Thriller",Action Thriller,20th Century Studios,39,770,47,Tony Scott,"Denzel Washington, Dakota Fanning, Radha Mitchell, Christopher Walken, Marc Anthony, Giancarlo Giannini, Mickey Rourke, Rachel Ticotin",4/23/2004,600000000,779068160,1309685790,2088753950,1488753950,0,9,0,0,163
Captain Phillips,1,1,2010-2019,134,95000000,"Adventure, Thriller",Crime Thriller,Sony Pictures,93,780,82,Paul Greengrass,"Tom Hanks, Barkhad Abdi, Catherine Keener, Chris Mulkey, Max Martini, Michael Chernus, Yul Vazquez, Corey Johnson",10/11/2013,550000000,1071364170,2206481840,3277846010,2727846010,0,9,1,2,253
Hands of Stone,0,0,2010-2019,105,,"Drama, Sports",,Lantern Entertainment,45,660,54,Jonathan Jakubowicz,"Robert De Niro, Edgar Ramírez, Jurnee Smollett, Ellen Barkin, Rubén Blades, Usher, John Turturro, Reg E. Cathey",8/26/2016,200000000,47127920,50319750,97447670,-102552330,0,9,0,0,165
The Company You Keep,0,0,2010-2019,121,19633027,"Thriller, Drama",Political,Sony Pictures,54,640,57,Robert Redford,"Robert Redford, Shia LaBeouf, Julie Christie, Susan Sarandon, Nick Nolte, Chris Cooper, Terrence Howard, Stanley Tucci",12/20/2012,20000000,51324420,210877600,262202020,242202020,0,9,0,0,175
The Good Shepherd,0,0,2000-2009,167,59908565,Drama,Political,Universal Pictures,55,670,61,Robert De Niro,"Matt Damon, Angelina Jolie, Alec Baldwin, Tammy Blanchard, Robert De Niro, Billy Crudup, Keir Dullea, Michael Gambon",12/22/2006,800000000,599085650,1003782710,1602868360,802868360,0,9,0,0,183
Silver Linings Playbook,1,1,2010-2019,122,236412453,"Dramedy, RomCom",Dark Comedy,Lantern Entertainment,92,770,81,David O. Russell,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver, Chris Tucker, Julia Stiles, Shea Whigham, Dash Mihok",11/16/2012,210000000,1320929580,2364124530,3685054110,3475054110,0,9,1,2,250
Jackie Brown,0,0,1990-1999,154,39673162,"Crime, Thriller",Crime Thriller,Miramax Films,87,750,64,Quentin Tarantino,"Pam Grier, Samuel L. Jackson, Robert De Niro, Bridget Fonda, Michael Keaton, Robert Forster, Michael Bowen, Chris Tucker",12/25/1997,120000000,396731620,747274920,1144006540,1024006540,0,9,1,0,226
Licorice Pizza,1,1,2020-2029,100,,Drama,Coming-of-Age,"MGM Studios, Focus Features, BRON, United Artists",,,,Paul Thomas Anderson,"Alana Haim, Cooper Hoffman, Sean Penn, Tom Waits, Bradley Cooper, Benny Safdie, Maya Rudolph, Skyler Gisondo",11/26/2021,400000000,173180070,329035490,502215560,102215560,0,9,2,2,
Inside Man,0,0,2000-2009,129,186003591,Drama,Heist,"Universal Pictures, Imagine Entertainment, 40 Acres and a Mule Filmworks",86,760,76,Spike Lee,"Denzel Washington, Clive Owen, Jodie Foster, Christopher Plummer, Willem Dafoe, Chiwetel Ejiofor, Carlos Andrés Gómez, Kim Director",3/24/2006,500000000,886342370,1857982650,2744325020,2244325020,0,9,0,0,238
The Equalizer,0,0,2010-2019,132,192330738,"Crime, Action","Assassins/Hitmen & Gunslingers, Action Thriller, Crime Thriller",Sony Pictures,60,720,57,Antoine Fuqua,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour, Haley Bennett, Bill Pullman, Melissa Leo, David Meunier",9/26/2014,550000000,1015307380,1929036240,2944343620,2394343620,0,9,0,0,189
John Q,0,0,2000-2009,116,102244770,"Drama, Thriller",Crime Thriller,New Line Cinema,23,710,30,Nick Cassavetes,"Denzel Washington, Robert Duvall, Anne Heche, Kimberly Elise, Daniel E. Smith, Larissa Laskin, James Woods, Ethan Suplee",2/15/2002,360000000,710266310,1022266310,1732532620,1372532620,0,9,0,0,124
Contagion,0,0,2010-2019,106,137551594,"Drama, Disaster",Disaster & Apocalypse,Warner Bros,85,670,70,Steven Soderbergh,"Marion Cotillard, Matt Damon, Laurence Fishburne, Jude Law, Kate Winslet, Jennifer Ehle, Gwyneth Paltrow, Bryan Cranston",9/9/2011,600000000,756580970,1372039390,2128620360,1528620360,0,9,3,0,222
RED 2,0,0,2010-2019,116,148100000,Action,Action Comedy,Lionsgate,44,660,47,Dean Parisot,"Bruce Willis, John Malkovich, Mary-Louise Parker, Anthony Hopkins, Helen Mirren, Catherine Zeta-Jones, Lee Byung-hun, David Thewlis",7/19/2013,840000000,532625600,1415073550,1947699150,1107699150,0,9,0,0,157
Noah,0,0,2010-2019,138,362637473,Drama,Religion,Paramount Pictures,76,570,68,Darren Aronofsky,"Russell Crowe, Jennifer Connelly, Emma Watson, Logan Lerman, Anthony Hopkins, Ray Winstone, Kevin Durand, Ariane Rinehart",3/27/2014,1300000000,1012000440,3528310650,4540311090,3240311090,0,9,1,0,201
American Gangster,0,2,2000-2009,157,266465037,Crime,BioPic & True Story,"Universal Pictures, Relativity Media, Imagine Entertainment",80,780,76,Ridley Scott,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor, Josh Brolin, Ted Levine, Lymari Nadal, John Hawkes, RZA",11/2/2007,1000000000,1301646450,2679854560,3981501010,2981501010,0,9,2,2,234
A Beautiful Day in the Neighborhood,0,0,2010-2019,109,67760877,Drama,BioPic & True Story,Sony Pictures,95,730,80,Marielle Heller,"Tom Hanks, Matthew Rhys, Chris Cooper, Susan Kelechi Watson, Maryann Plunkett, Enrico Colantoni, Wendy Makkena, Tammy Blanchard",11/22/2019,450000000,616964360,685900030,1302864390,852864390,0,9,0,0,248
Cape Fear,0,0,1990-1999,128,182300000,"Crime, Thriller","Crime Thriller, Psychological Thriller","Universal Pictures, Amblin",74,730,73,Martin Scorsese,"Robert De Niro, Nick Nolte, Jessica Lange, Juliette Lewis, Joe Don Baker, Robert Mitchum, Gregory Peck, Martin Balsam",11/15/1991,350000000,790919690,1822919690,2613839380,2263839380,0,9,3,0,220
Revolutionary Road,0,1,2000-2009,119,75225693,"Drama, Romance",Romantic Drama,Paramount Pictures,67,730,69,Sam Mendes,"Leonardo DiCaprio, Kate Winslet, David Harbour, Kathryn Hahn, Kathy Bates, Michael Shannon, Dylan Baker, Richard Easton",12/26/2008,450000000,229513400,796048200,1025561600,575561600,0,9,2,1,209
Cop Land,0,0,1990-1999,104,44862187,Drama,Police & Detectives,Miramax Films,75,690,64,James Mangold,"Sylvester Stallone, Harvey Keitel, Ray Liotta, Robert De Niro, Peter Berg, Janeane Garofalo, Robert Patrick, Michael Rapaport",8/15/1997,150000000,449066320,637066320,1086132640,936132640,0,9,0,0,208
Bridge of Spies,1,0,2010-2019,141,165478348,Drama,Spy & Secret Agents/Espionage,"Disney, Touchstone Pictures, Amblin",90,760,81,Steven Spielberg,"Tom Hanks, Mark Rylance, Amy Ryan, Alan Alda, Sebastian Koch, Austin Stowell, Billy Magnussen, Michael Simon Hall",10/14/2015,400000000,723137540,1624983380,2348120920,1948120920,0,9,6,1,247
Analyze That,0,0,2000-2009,96,55003135,Crime,"Dark Comedy, Sequel",Warner Bros,27,590,37,Harold Ramis,"Robert De Niro, Billy Crystal, Lisa Kudrow, Joe Viterelli, Cathy Moriarty, Donna Marie Recco, Kyle Sabihy, Frank Pietrangolare",12/6/2002,600000000,321222490,549947570,871170060,271170060,0,9,0,0,123
War of the Worlds,0,0,2000-2009,116,591739379,Sci-Fi,Alien Invasion,"DreamWorks Pictures, Amblin",75,650,73,Steven Spielberg,"Tom Cruise, Dakota Fanning, Justin Chatwin, Miranda Otto, Tim Robbins, Camillia Sanes, Morgan Freeman, Takayo Fischer",6/24/2005,1320000000,2342803540,6068365350,8411168890,7091168890,0,9,4,0,213
Now You See Me 2,0,0,2010-2019,129,334901337,Comedy,Heist,Lionsgate,33,650,46,Jon M. Chu,"Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco, Daniel Radcliffe, Lizzy Caplan, Morgan Freeman, Michael Caine",5/27/2016,900000000,650755400,3283250070,3934005470,3034005470,0,9,0,0,144
Django Unchained,1,1,2010-2019,165,425368238,Western,Spaghetti Western,Columbia Pictures,87,840,81,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson, Walton Goggins, Dennis Christopher, James Remar",12/25/2012,1000000000,1628054340,4498415660,6126470000,5126470000,0,9,2,2,252
Insomnia,0,0,2000-2009,118,113714830,"Drama, Thriller",Psychological Thriller,Warner Bros,92,720,78,Christopher Nolan,"Al Pacino, Robin Williams, Hilary Swank, Maura Tierney, Martin Donovan, Nicky Katt, Paul Dooley, Crystal Lowe",5/24/2002,460000000,672631820,1136224990,1808856810,1348856810,0,9,0,0,242
The Terminal,0,0,2000-2009,128,219417255,"Dramedy, Romance",Romantic Drama,"DreamWorks Pictures, Amblin",61,740,55,Steven Spielberg,"Tom Hanks, Catherine Zeta-Jones, Stanley Tucci, Chi McBride, Diego Luna, Barry Shabaka Henley, Kumar Pallana, Zoe Saldana",6/18/2004,750000000,770739590,2186739590,2957479180,2207479180,0,9,4,0,190
